#id: 3616268379
#name: E.coli str. K-12 substr. MG1655 - Whole organism (Integrated)
#score: 19.7
#coverage: 99
#description: integrated dataset: weighted average of all E.coli str. K-12 substr. MG1655 WHOLE_ORGANISM: 19.7, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps:0.174;ecoli2_resolutionCombination_PRIDE:0.174;ecoli1_HCD_CID_PRIDE:0.077;E_coli_Wisniewski_2014_cpc:0.071;Escherichia_coli_SC_biomart_18119_E__5reps:0.061;Ecoli_Krug_2013:0.054;Ecoli_emPAI_arike_2012:0.054;Ecoli_APEX_arike_2012:0.052;WT-lewis-peptide_count:0.05;Taniguchi_2010_Table_S6:0.048;511145_GPM_201408:0.04;Escherichia_coli_SC_biomart_17112_E__2reps:0.031;Ecoli_Krug_2013_emPAI:0.029;PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH:0.026;Lu_ecoli_2007:0.02;Ecoli_strainK12_PRIDE:0.017;Ecoli_iBAQ_arike_2012:0.013;Escherichia_coli_SC_biomart_12189_E__2reps:0.01;
#publication_year: 2025
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
uspA	511145.b3495	28959
rplL	511145.b3986	12765
tufA	511145.b3339	11124
tufB	511145.b3980	10100
gapA	511145.b1779	10049
cspC	511145.b1823	9171
hupB	511145.b0440	8637
hns	511145.b1237	7274
eno	511145.b2779	7156
mdh	511145.b3236	6897
groL	511145.b4143	6886
pgk	511145.b2926	6471
rpsG	511145.b3341	6185
dnaK	511145.b0014	6182
lpp	511145.b1677	6107
acpP	511145.b1094	6028
rplV	511145.b3315	5989
rpsE	511145.b3303	5823
rpsU	511145.b3065	5617
hdeA	511145.b3510	5467
ompA	511145.b0957	5377
hupA	511145.b4000	5136
aceA	511145.b4015	5109
rplY	511145.b2185	5084
rpsM	511145.b3298	4995
groS	511145.b4142	4841
glyA	511145.b2551	4789
rpsT	511145.b0023	4661
rpsC	511145.b3314	4612
rplI	511145.b4203	4599
gpmA	511145.b0755	4591
rpsD	511145.b3296	4548
ridA	511145.b4243	4483
ahpC	511145.b0605	4389
rplB	511145.b3317	4269
rplJ	511145.b3985	4256
rplF	511145.b3305	4172
rplR	511145.b3304	4166
sodA	511145.b3908	4159
gatY	511145.b2096	4117
icd	511145.b1136	4017
rpmB	511145.b3637	4017
livJ	511145.b3460	4011
atpD	511145.b3732	3999
tsf	511145.b0170	3902
rplQ	511145.b3294	3836
rpsR	511145.b4202	3807
rplE	511145.b3308	3798
rplN	511145.b3310	3793
rpsN	511145.b3307	3776
rplA	511145.b3984	3722
rpsP	511145.b2609	3703
fusA	511145.b3340	3685
grcA	511145.b2579	3655
rpsJ	511145.b3321	3643
rplO	511145.b3301	3621
rplX	511145.b3309	3616
rpmC	511145.b3312	3606
