"","mutation_density","avg_length","binary_asymmetry","relative_distance_from_oric","transcript","gc_content","cpg_excess","relative_distance_oscillating_triangle","binary_pec","protein_abundance_pax"
"mutation_density",0,2.06031123007044e-26,0.971353596584387,0.130863469707441,1.69160321158187e-08,0.814895607120525,0.0918049438113769,0.707287235063063,0.975247675434707,0.0444348090929155
"avg_length",2.06031123007036e-26,0,0.369169733650086,0.276912675382647,7.03917162890021e-30,1.20811788351984e-85,5.92086297302308e-08,0.760165191722358,0.00299658266752611,7.05776508118397e-12
"binary_asymmetry",0.971353596584387,0.369169733650086,0,0.567939455626579,1.47061835114088e-08,0.00628959359157906,0.000214377411564816,0.376010207188982,5.93165259280645e-10,0.288284273990467
"relative_distance_from_oric",0.13086346970744,0.276912675382647,0.567939455626579,0,0.00231014591855218,2.01091139611866e-17,0.00194996275469397,0.194131029814988,2.6969935977829e-09,0.222631316662885
"transcript",1.69160321158188e-08,7.03917162890021e-30,1.47061835114087e-08,0.00231014591855217,0,0.00644620841628245,0.0491053531730592,0.40358498128515,1.88728295928055e-68,2e-308
"gc_content",0.814895607120525,1.20811788351968e-85,0.00628959359157907,2.01091139611863e-17,0.00644620841628242,0,9.93475325061635e-18,3.33002019194458e-08,0.13342624705435,0.116963313690357
"cpg_excess",0.0918049438113766,5.92086297302308e-08,0.000214377411564816,0.00194996275469395,0.0491053531730588,9.9347532506162e-18,0,0.0779570489810757,2.34857124083054e-07,6.94973951719929e-25
"relative_distance_oscillating_triangle",0.707287235063063,0.760165191722358,0.376010207188982,0.194131029814988,0.40358498128515,3.33002019194458e-08,0.0779570489810757,0,0.0274184660787532,0.0418199762722456
"binary_pec",0.975247675434707,0.00299658266752611,5.93165259280639e-10,2.69699359778291e-09,1.88728295928067e-68,0.13342624705435,2.34857124083055e-07,0.0274184660787532,0,5.99250064788263e-15
"protein_abundance_pax",0.0444348090929155,7.05776508118388e-12,0.288284273990467,0.222631316662885,2e-308,0.116963313690357,6.94973951719929e-25,0.0418199762722456,5.99250064788255e-15,0
