"","mutation_density","avg_length","binary_asymmetry","relative_distance_from_oric","transcript","gc_content","cpg_excess","relative_distance_oscillating_cosine","binary_pec","protein_abundance_pax"
"mutation_density",1,0.11099933336611,-0.000374824987262413,0.0157683046931054,-0.058878103859433,-0.00244362535814044,0.0175974807738037,-0.00391937930230389,0.000323855118873292,0.0209794367980375
"avg_length",0.11099933336611,1,-0.00937337176019551,-0.0113487212187976,-0.118515607477652,0.204710112401954,0.0565846415037884,-0.00318625523904421,0.0309800397162103,0.0715659450977009
"binary_asymmetry",-0.000374824987262416,-0.00937337176019552,1,0.00596085826110906,0.0591291638918669,0.0285188361721296,0.0386345752305616,-0.00924020593661816,0.0646327568694742,0.0110837292006885
"relative_distance_from_oric",0.0157683046931054,-0.0113487212187976,0.00596085826110906,1,-0.0318053689847031,-0.0886491393164669,-0.032333404313649,-0.013552894620046,-0.0620944735842039,0.0127294226464071
"transcript",-0.058878103859433,-0.118515607477652,0.0591291638918669,-0.0318053689847031,1,0.0284341578470423,0.0205380260475563,0.0087179472359296,0.182495985863466,0.475595835066538
"gc_content",-0.00244362535814044,0.204710112401954,0.0285188361721296,-0.0886491393164669,0.0284341578470423,1,0.0895001922102205,0.05764888145776,0.0156641483210433,0.0163626521831648
"cpg_excess",0.0175974807738037,0.0565846415037884,0.0386345752305616,-0.032333404313649,0.0205380260475563,0.0895001922102205,1,0.0183981806248626,0.0539566035049736,0.107522225786119
"relative_distance_oscillating_cosine",-0.00391937930230389,-0.00318625523904422,-0.00924020593661816,-0.013552894620046,0.00871794723592961,0.05764888145776,0.0183981806248626,1,0.0230204494407489,-0.0212439425572742
"binary_pec",0.000323855118873292,0.0309800397162103,0.0646327568694742,-0.0620944735842039,0.182495985863466,0.0156641483210433,0.0539566035049735,0.0230204494407489,1,0.0814569781520137
"protein_abundance_pax",0.0209794367980375,0.0715659450977009,0.0110837292006885,0.0127294226464071,0.475595835066538,0.0163626521831648,0.107522225786119,-0.0212439425572742,0.0814569781520137,1
