"","mutation_density","avg_length","binary_asymmetry","relative_distance_from_oric","transcript","gc_content","cpg_excess","relative_distance_oscillating_cosine","binary_pec","protein_abundance_pax"
"mutation_density",1,0.121332848712272,-0.00521879528573728,0.0147788379455018,-0.0654159970453816,0.020550266144877,0.0228257681261558,-0.00365848888405881,-0.00969886960717412,-0.00404007828159578
"avg_length",0.121332848712272,1,-0.00351148480955244,-0.0304666437936166,-0.0784963934844788,0.214137339223421,0.084549810072684,0.00988321799426668,0.0276528572209434,0.0399549004805702
"binary_asymmetry",-0.00521879528573728,-0.00351148480955244,1,-0.00822481015512561,0.100624705817564,0.0386797017541754,0.0577112350970105,-0.00422116230874657,0.0933814500658393,0.0705119550787252
"relative_distance_from_oric",0.0147788379455018,-0.0304666437936166,-0.00822481015512561,1,-0.0549450277355708,-0.10225698965191,-0.0526656358721839,-0.0223906202328029,-0.080065031940565,-0.0291830700641487
"transcript",-0.0654159970453816,-0.0784963934844788,0.100624705817564,-0.0549450277355708,1,0.0478929403531298,0.105876811389475,0.0093841988841773,0.267847239735098,0.507152005613534
"gc_content",0.020550266144877,0.214137339223421,0.0386797017541754,-0.10225698965191,0.0478929403531298,1,0.121281471359386,0.0623811378835645,0.0542065825472221,0.064870406163731
"cpg_excess",0.0228257681261558,0.084549810072684,0.0577112350970105,-0.0526656358721839,0.105876811389475,0.121281471359386,1,0.0254231878855506,0.100974795631149,0.159069582364667
"relative_distance_oscillating_cosine",-0.00365848888405881,0.00988321799426668,-0.00422116230874657,-0.0223906202328029,0.0093841988841773,0.0623811378835645,0.0254231878855506,1,0.0268768129177829,-0.00804692772958189
"binary_pec",-0.00969886960717412,0.0276528572209434,0.0933814500658393,-0.080065031940565,0.267847239735098,0.0542065825472221,0.100974795631149,0.0268768129177829,1,0.213343372276363
"protein_abundance_pax",-0.00404007828159578,0.0399549004805702,0.0705119550787252,-0.0291830700641487,0.507152005613534,0.064870406163731,0.159069582364667,-0.00804692772958189,0.213343372276363,1
