"","mutation_density","avg_length","binary_asymmetry","relative_distance_from_oric","transcript","gc_content","cpg_excess","relative_distance_oscillating_triangle","binary_gerdes","protein_abundance_pax"
"mutation_density",1,0.110374464351125,-0.000179092299631436,0.0159034732253203,-0.0590069478000689,-0.00239612844473317,0.0177326175551479,-0.00386703170014456,-0.0030775271486978,0.021197034133949
"avg_length",0.110374464351125,1,-0.00240913146943617,-0.00924080160682781,-0.103010026867898,0.205722374032153,0.0609880016570719,-0.00118084461217021,-0.0869086792412973,0.0780906415658717
"binary_asymmetry",-0.000179092299631437,-0.00240913146943617,1,-0.000666068763738468,0.0647321482699451,0.0287613226344469,0.0403019874411694,-0.00859746559862187,0.0568532029314838,0.0137226451058817
"relative_distance_from_oric",0.0159034732253203,-0.00924080160682781,-0.000666068763738472,1,-0.0491753834648128,-0.0903375901487663,-0.0372678614115272,-0.0156778366037293,0.046016987497536,0.00553404031908444
"transcript",-0.0590069478000689,-0.103010026867898,0.064732148269945,-0.0491753834648128,1,0.0299164905079009,0.0266911670570312,0.0112498706718981,0.121431823219587,0.490546908376621
"gc_content",-0.00239612844473317,0.205722374032153,0.0287613226344469,-0.0903375901487664,0.0299164905079009,1,0.0899742202484038,0.0578161080839274,0.0138031141217734,0.0170301243943691
"cpg_excess",0.0177326175551479,0.0609880016570719,0.0403019874411694,-0.0372678614115272,0.0266911670570312,0.0899742202484038,1,0.0191729711588423,0.0330390096418574,0.110717283940178
"relative_distance_oscillating_triangle",-0.00386703170014457,-0.00118084461217021,-0.00859746559862187,-0.0156778366037293,0.0112498706718981,0.0578161080839274,0.0191729711588423,1,0.0147792603517584,-0.0201090217698579
"binary_gerdes",-0.0030775271486978,-0.0869086792412972,0.0568532029314838,0.046016987497536,0.121431823219587,0.0138031141217734,0.0330390096418574,0.0147792603517584,1,0.0469640506209215
"protein_abundance_pax",0.021197034133949,0.0780906415658717,0.0137226451058817,0.00553404031908446,0.490546908376621,0.0170301243943691,0.110717283940178,-0.0201090217698579,0.0469640506209215,1
