"","mutation_density","avg_length","binary_asymmetry","relative_distance_from_oric","transcript","gc_content","cpg_excess","relative_distance_oscillating_triangle","binary_pec","protein_abundance_lb"
"mutation_density",0,9.11040538192338e-27,0.94089917713291,0.121487881668226,9.18764697248449e-09,0.782796531527774,0.0830000000209561,0.679500273970933,0.905001012638905,0.0237529438382629
"avg_length",9.11040538192303e-27,0,0.356500709698228,0.32615237603159,8.12816486477444e-23,8.40223724636726e-86,3.55829566390052e-09,0.657417039652695,0.0026988784139266,0.000223933429210538
"binary_asymmetry",0.94089917713291,0.356500709698228,0,0.549594369300399,1.50301241418737e-06,0.00774030829112799,0.000285361163789657,0.367082540661724,4.04220292748303e-09,0.0103478497252297
"relative_distance_from_oric",0.121487881668226,0.326152376031589,0.549594369300399,0,0.0295567344766143,2.83482621510701e-17,0.00333162490159666,0.184864962559037,9.39539186941058e-09,0.603573910246237
"transcript",9.18764697248445e-09,8.12816486477458e-23,1.50301241418736e-06,0.0295567344766143,0,0.0640295231333848,0.00172899974191344,0.981592427769723,1.04916604517214e-45,2e-308
"gc_content",0.782796531527774,8.40223724636844e-86,0.00774030829112801,2.83482621510701e-17,0.0640295231333849,0,1.57139274309523e-17,3.88574425585225e-08,0.237825110655576,0.00158557921125014
"cpg_excess",0.083000000020956,3.55829566390056e-09,0.000285361163789659,0.00333162490159667,0.00172899974191344,1.57139274309523e-17,0,0.117519139295049,6.75173471081303e-07,1.75619749618403e-13
"relative_distance_oscillating_triangle",0.679500273970933,0.657417039652694,0.367082540661724,0.184864962559037,0.981592427769723,3.88574425585225e-08,0.11751913929505,0,0.0396540867779729,0.828080683705012
"binary_pec",0.905001012638905,0.00269887841392659,4.04220292748303e-09,9.39539186941058e-09,1.04916604517209e-45,0.237825110655576,6.75173471081303e-07,0.0396540867779728,0,4.14936453023634e-40
"protein_abundance_lb",0.0237529438382628,0.000223933429210538,0.0103478497252297,0.603573910246237,2e-308,0.00158557921125014,1.75619749618403e-13,0.828080683705012,4.14936453023644e-40,0
