"","mutation_density","avg_length","binary_asymmetry","relative_distance_from_oric","transcript","gc_content","cpg_excess","relative_distance_oscillating_triangle","binary_pec","protein_abundance_lb"
"mutation_density",1,0.111790586599522,-0.000773849209565717,0.0161634023093859,-0.0599654900872431,-0.00287743111632164,0.0180941693386565,-0.00431228855330796,-0.00124570175327327,0.0236007228736345
"avg_length",0.111790586599522,1,-0.00962412473743128,-0.0102487167746704,-0.102632466995001,0.204902790735878,0.0616192050767853,-0.00462893717086299,0.0313142058632712,0.0385189426886964
"binary_asymmetry",-0.000773849209565716,-0.00962412473743127,1,0.0062455913587127,0.0502140901783729,0.0277976283196338,0.0378704993460819,-0.00941430851153184,0.061399370978397,0.0267621108462624
"relative_distance_from_oric",0.0161634023093859,-0.0102487167746704,0.0062455913587127,1,-0.0227122476600402,-0.0882317911365167,-0.0306384162948199,-0.0138396051850523,-0.0599259878930345,-0.00541996727212034
"transcript",-0.0599654900872431,-0.102632466995001,0.0502140901783729,-0.0227122476600402,1,0.0193303669356799,0.0327036334222653,-0.000240824208052187,0.148116240945301,0.496922018875058
"gc_content",-0.00287743111632164,0.204902790735878,0.0277976283196338,-0.0882317911365167,0.0193303669356799,1,0.0889477032670157,0.0573653042694363,0.0123210924027062,0.032967988964626
"cpg_excess",0.0180941693386565,0.0616192050767853,0.0378704993460819,-0.0306384162948199,0.0327036334222653,0.0889477032670157,1,0.016337852922982,0.0518584179055293,0.0768857766235606
"relative_distance_oscillating_triangle",-0.00431228855330796,-0.00462893717086299,-0.00941430851153184,-0.0138396051850523,-0.000240824208052184,0.0573653042694363,0.016337852922982,1,0.0214738547103263,-0.00226669256128504
"binary_pec",-0.00124570175327327,0.0313142058632712,0.061399370978397,-0.0599259878930345,0.148116240945301,0.0123210924027062,0.0518584179055293,0.0214738547103263,1,0.138365258410197
"protein_abundance_lb",0.0236007228736345,0.0385189426886964,0.0267621108462624,-0.00541996727212034,0.496922018875058,0.032967988964626,0.0768857766235606,-0.00226669256128504,0.138365258410197,1
