"","mutation_density","avg_length","binary_asymmetry","relative_distance_from_oric","transcript","gc_content","cpg_excess","relative_distance_oscillating_triangle","binary_gerdes","protein_abundance_pax"
"mutation_density",0,7.08246429990518e-26,0.711538053720645,0.199719398988535,1.40236747144723e-08,0.0745939209883797,0.0476403228794502,0.750905971074578,0.122376837483328,0.726845368657308
"avg_length",7.08246429990518e-26,0,0.783496078256004,0.00350938733923852,5.59505151676072e-14,1.55906742171035e-93,5.4436846265568e-16,0.343653687759604,2.72575444873816e-13,0.000136245525535512
"binary_asymmetry",0.711538053720645,0.783496078256004,0,0.519484873056505,3.36916833203535e-15,0.00245400255722569,6.1923156262939e-06,0.740956229498551,1.10639946629023e-06,3.73645426904682e-08
"relative_distance_from_oric",0.199719398988535,0.00350938733923852,0.519484873056505,0,1.39084409190493e-07,1.06638036353803e-22,4.40398718630277e-07,0.031771952737513,0.00659820335549891,0.00528962551890565
"transcript",1.40236747144723e-08,5.59505151676072e-14,3.36916833203535e-15,1.39084409190493e-07,0,4.43147002060231e-06,3.37680895531201e-24,0.368401975093256,3.6457215475585e-46,2e-308
"gc_content",0.0745939209883797,1.55906742171035e-93,0.00245400255722569,1.06638036353803e-22,4.43147002060231e-06,0,2.91275785323586e-31,2.2073621477974e-09,0.551243369156526,5.69559725841967e-10
"cpg_excess",0.0476403228794502,5.4436846265568e-16,6.1923156262939e-06,4.40398718630277e-07,3.37680895531201e-24,2.91275785323586e-31,0,0.0147658196170139,5.01345502199836e-05,3.47344547708808e-52
"relative_distance_oscillating_triangle",0.750905971074578,0.343653687759604,0.740956229498551,0.031771952737513,0.368401975093256,2.2073621477974e-09,0.0147658196170139,0,0.242203538353751,0.441896202821154
"binary_gerdes",0.122376837483328,2.72575444873816e-13,1.10639946629023e-06,0.00659820335549891,3.6457215475585e-46,0.551243369156526,5.01345502199836e-05,0.242203538353751,0,3.08263383051214e-24
"protein_abundance_pax",0.726845368657308,0.000136245525535512,3.73645426904682e-08,0.00528962551890565,2e-308,5.69559725841967e-10,3.47344547708808e-52,0.441896202821154,3.08263383051214e-24,0
