locus_tag,mutation_density,mutation_count,avg_length,start,end,strand,type,gc_content,cpg_excess,gene_names
b0001,0.0,0,66.0,190,255,+,CDS,0.5151515151515151,0.75,thrL;ECK0001;NP_414542.1
b0002,0.0008120178643930166,2,2463.0,337,2799,+,CDS,0.5306536743808363,1.1516918088256027,thrA;ECK0002;Hs;thrA1;thrA2;thrD;NP_414543.1
b0003,0.0,0,933.0,2801,3733,+,CDS,0.5627009646302251,1.0990370174043642,thrB;ECK0003;NP_414544.1
b0004,0.0,0,1287.0,3734,5020,+,CDS,0.5283605283605284,1.1748417721518989,thrC;ECK0004;NP_414545.1
b0005,0.0,0,297.0,5234,5530,+,CDS,0.5387205387205387,1.0688468158347677,yaaX;ECK0005;NP_414546.1
b0006,0.003861003861003861,3,777.0,5683,6459,-,CDS,0.4967824967824968,1.2312464749012972,yaaA;ECK0006;NP_414547.1
b0007,0.0,0,1431.0,6529,7959,-,CDS,0.53319357092942,1.0827039742478644,yaaJ;ECK0007;NP_414548.1
b0008,0.0010482180293501049,1,954.0,8238,9191,+,CDS,0.519916142557652,1.1332194288503783,talB;ECK0008;yaaK;NP_414549.1
b0009,0.0,0,588.0,9306,9893,+,CDS,0.54421768707483,1.2049655172413793,mog;bisD;chlG;ECK0009;mogA;yaaG;NP_414550.1
b0010,0.0,0,567.0,9928,10494,-,CDS,0.5308641975308642,1.0018552875695734,satP;ECK0010;yaaH;NP_414551.1
b0011,0.0014005602240896359,1,714.0,10643,11356,-,CDS,0.5084033613445378,1.0490358126721764,yaaW;ECK0011;NP_414552.1
b0013,0.0,0,405.0,11382,11786,-,CDS,0.4888888888888889,1.4166666666666667,yaaI;ECK0013;NP_414554.1
b0014,0.0,0,1917.0,12163,14079,+,CDS,0.5112154407929056,1.1108410630536738,dnaK;ECK0014;groPAB;groPC;groPF;grpC;grpF;seg;NP_414555.1
b0015,0.0,0,1131.0,14168,15298,+,CDS,0.5517241379310345,1.1875805713810454,dnaJ;ECK0015;groP;grpC;NP_414556.1
b0016,0.0,0,1113.0,15445,16557,+,CDS,0.5193171608265947,1.109044852093738,insL1;ECK0016;yi81-1;NP_414557.1
b0018,0.0,0,210.0,16751,16960,-,CDS,0.5142857142857142,1.0208333333333335,mokC;ECK0018;gefL;NP_414559.1
b4412,0.0,0,153.0,16751,16903,-,CDS,0.5294117647058824,1.2217444717444719,hokC;ECK0017;gef;YP_025292.1
b0019,0.0,0,1167.0,17489,18655,+,CDS,0.5141388174807198,1.0533560492378513,nhaA;ant;antA;ECK0020;NP_414560.1
b0020,0.0,0,906.0,18715,19620,+,CDS,0.4746136865342163,1.1206788047134395,nhaR;antO;ECK0021;yaaB;NP_414561.1
b0021,0.0,0,504.0,19811,20314,-,CDS,0.5456349206349206,1.2080536912751678,insB1;ECK0022;NP_414562.1
b0022,0.0,0,276.0,20233,20508,-,CDS,0.5289855072463768,0.9409090909090909,insA1;ECK0023;NP_414563.1
b0023,0.0,0,264.0,20815,21078,-,CDS,0.4659090909090909,1.0526315789473684,rpsT;ECK0024;sup(s20);supS;supS20;NP_414564.1
b0024,0.0,0,219.0,21181,21399,+,CDS,0.4885844748858447,1.2251748251748251,yaaY;ECK0025;NP_414565.1
b0025,0.0,0,942.0,21407,22348,+,CDS,0.5360934182590233,1.2688175450828765,ribF;ECK0026;yaaC;NP_414566.1
b0026,0.0,0,2817.0,22391,25207,+,CDS,0.5576854810081647,1.1807521347526027,ileS;ECK0027;ilvS;NP_414567.1
b0027,0.0,0,495.0,25207,25701,+,CDS,0.5353535353535354,1.2173987645847633,lspA;ECK0028;lsp;NP_414568.1
b0028,0.0,0,450.0,25826,26275,+,CDS,0.5444444444444444,1.0799999999999998,fkpB;ECK0029;slpA;yaaD;NP_414569.1
b0029,0.0010515247108307045,1,951.0,26277,27227,+,CDS,0.5509989484752892,1.3104996443812233,ispH;ECK0030;lytB;yaaE;NP_414570.1
b0030,0.001092896174863388,1,915.0,27293,28207,+,CDS,0.5628415300546448,1.021205357142857,rihC;ECK0031;yaaF;NP_414571.1
b0031,0.0,0,822.0,28374,29195,+,CDS,0.5340632603406326,1.2070227708022983,dapB;ECK0032;NP_414572.1
b0032,0.0008703220191470844,1,1149.0,29651,30799,+,CDS,0.5335073977371627,1.1748716528555907,carA;arg;ECK0033;pyrA;NP_414573.1
b0033,0.00031036623215394165,1,3222.0,30817,34038,+,CDS,0.5626939788950962,1.3058037676149181,carB;ECK0034;pyrA;NP_414574.1
b0034,0.0,0,396.0,34300,34695,+,CDS,0.4595959595959596,1.3378378378378377,caiF;ECK0035;NP_414576.4
b0035,0.0,0,591.0,34781,35371,-,CDS,0.5499153976311336,1.1750877192982456,caiE;ECK0036;NP_414577.2
b0036,0.001272264631043257,1,786.0,35377,36162,-,CDS,0.5407124681933843,1.2486239763726674,caiD;ECK0037;yaaL;NP_414578.2
b0037,0.0,0,1554.0,36271,37824,-,CDS,0.5102960102960103,1.279249039602823,caiC;ECK0038;yaaM;NP_414579.4
b0038,0.0008210180623973727,1,1218.0,37898,39115,-,CDS,0.5262725779967159,1.1506457079413313,caiB;ECK0039;yaaN;NP_414580.1
b0039,0.0008748906386701663,1,1143.0,39244,40386,-,CDS,0.5389326334208224,1.1563528321778858,caiA;ECK0040;yaaO;NP_414581.1
b0040,0.0,0,1515.0,40417,41931,-,CDS,0.5181518151815182,0.9837662337662338,caiT;ECK0041;yaaP;NP_414582.1
b0041,0.0,0,771.0,42403,43173,+,CDS,0.5252918287937743,1.0728200371057512,fixA;ECK0042;yaaQ;NP_414583.2
b0042,0.0,0,942.0,43188,44129,+,CDS,0.5668789808917197,1.2564408564408565,fixB;ECK0043;yaaR;NP_414584.1
