Gene,Start,End,Length (nt),Strand,Locus Tag,CDS,Pseudo,PEC,Gerdes,LB medium,,,,,M9 glucose (0.2%) medium,,,,
,,,,,,,,,,Insertion,IPKM,ec Insertion,ecIPKM,Essentiality,Insertion,IPKM,ec Insertion,ecIPKM,Essentiality
thrL,190,255,66,+,b0001,Y,N,NE,NE,6,37.90 ,6,40.35 ,NE,7,7.80,7,8.30,NE
thrA,337,2799,2463,+,b0002,Y,N,NE,NE,3407,576.68 ,3115,572.85 ,NE,96,2.87,86,2.79,NE
thrB,2801,3733,933,+,b0003,Y,N,NE,NE,641,286.42 ,624,303.55 ,NE,32,2.52,29,2.49,NE
thrC,3734,5020,1287,+,b0004,Y,N,NE,NE,309,100.09 ,299,105.37 ,NE,27,1.54,27,1.68,E
yaaX,5234,5530,297,+,b0005,Y,N,NE,NE,1094,1535.65 ,1088,1661.49 ,NE,966,239.21,942,253.77,NE
yaaA,5683,6459,777,-,b0006,Y,N,NE,NE,25,13.41 ,24,14.03 ,NE,142,13.44,132,13.62,NE
yaaJ,6529,7959,1431,-,b0007,Y,N,NE,NE,1406,409.62 ,1404,445.11 ,NE,12300,632.15,12269,686.18,NE
talB,8238,9191,954,+,b0008,Y,N,NE,NE,79,34.52 ,57,27.07 ,NE,533,41.09,459,38.45,NE
mog,9306,9893,588,+,b0009,Y,N,NE,E,323,229.01 ,320,247.05 ,NE,2757,344.84,2712,369.36,NE
satP,9928,10494,567,-,b0010,Y,N,NE,NE,203,149.26 ,187,149.06 ,NE,2436,315.97,2340,329.05,NE
yaaW,10643,11356,714,-,b0011,Y,N,NE,NE,286,166.99 ,187,118.48 ,NE,1013,104.34,608,67.96,NE
yaaI,11382,11786,405,-,b0013,Y,N,NE,NE,42,43.23 ,42,46.94 ,NE,330,59.93,330,65.07,NE
dnaK,12163,14079,1917,+,b0014,Y,N,NE,E,26,5.65 ,26,6.14 ,NE,470,18.03,470,19.58,NE
dnaJ,14168,15298,1131,+,b0015,Y,N,NE,NE,976,359.76 ,955,383.19 ,NE,2722,177.00,2722,192.68,NE
insL1,15445,16557,1113,+,b0016,Y,N,NE,NE,195,73.04 ,191,77.69 ,NE,1590,105.06,1556,111.64,NE
mokC,16751,16960,210,-,b0018,Y,N,NE,NE,58,115.14 ,57,122.49 ,NE,1157,405.20,1156,438.24,NE
hokC,16751,16903,153,-,b4412,Y,N,NE,NE,46,125.34 ,46,136.01 ,NE,1114,535.48,1113,580.54,NE
sokC,16952,17006,55,+,b4413,N,N,NE,NE,3,22.74 ,3,24.52 ,NE,6,8.02,6,8.65,NE
nhaA,17489,18655,1167,+,b0019,Y,N,NE,NE,191,68.23 ,187,72.52 ,NE,62,3.91,59,4.04,NE
