locus_tag,mutation_density,mutation_count,start,middle,end,avg_length,strand,type,gc_content,cpg_excess,asymmetry,binary_asymmetry,distance_from_oric,relative_distance_from_oric,relative_distance_oscillating_triangle,relative_distance_oscillating_cosine,essentiality_pec,binary_pec,essentiality_gerdes,binary_gerdes,transcript,protein_abundance_pax,protein_abundance_lb,gene_names
b0001,0,0,190,223,255,66,+,CDS,0.515151515,0.75,leading,1,716015,0.308517312,0.617034625,0.824453426,NE,0,NE,0,260.180435,1.00E-07,0,thrL;ECK0001;NP_414542.1
b0002,0.000812018,2,337,1568.5,2799,2463,+,CDS,0.530653674,1.151691809,leading,1,717360.5,0.309097063,0.618194126,0.825482809,NE,0,NE,0,87.750633,592,1360,thrA;ECK0002;Hs;thrA1;thrA2;thrD;NP_414543.1
b0003,0,0,2801,3267.5,3733,933,+,CDS,0.562700965,1.099037017,leading,1,719059.5,0.30982913,0.61965826,0.826778726,NE,0,NE,0,99.0228615,256,246,thrB;ECK0003;NP_414544.1
b0004,0,0,3734,4377.5,5020,1287,+,CDS,0.528360528,1.174841772,leading,1,720169.5,0.310307408,0.620614816,0.827623021,NE,0,NE,0,88.064274,918,3759,thrC;ECK0004;NP_414545.1
b0005,0,0,5234,5382.5,5530,297,+,CDS,0.538720539,1.068846816,leading,1,721174.5,0.310740443,0.621480887,0.828385838,NE,0,NE,0,16.798871,1.00E-07,0,yaaX;ECK0005;NP_414546.1
b0006,0.003861004,3,5683,6071.5,6459,777,-,CDS,0.496782497,1.231246475,lagging,0,721863.5,0.31103732,0.622074641,0.828907918,NE,0,NE,0,30.2065145,91,772,yaaA;ECK0006;NP_414547.1
b0007,0,0,6529,7244.5,7959,1431,-,CDS,0.533193571,1.082703974,lagging,0,723036.5,0.311542744,0.623085488,0.829795084,NE,0,NE,0,7.524167,1.46,0,yaaJ;ECK0007;NP_414548.1
b0008,0.001048218,1,8238,8715,9191,954,+,CDS,0.519916143,1.133219429,leading,1,724507,0.312176354,0.624352709,0.8309043,NE,0,NE,0,556.4898075,2515,12775,talB;ECK0008;yaaK;NP_414549.1
b0009,0,0,9306,9600,9893,588,+,CDS,0.544217687,1.204965517,leading,1,725392,0.312557684,0.625115368,0.831570279,NE,0,E,1,40.2514915,87.9,386,mog;bisD;chlG;ECK0009;mogA;yaaG;NP_414550.1
b0010,0,0,9928,10211.5,10494,567,-,CDS,0.530864198,1.001855288,lagging,0,726003.5,0.312821168,0.625642336,0.832029748,NE,0,NE,0,23.9421025,1.00E-07,0,satP;ECK0010;yaaH;NP_414551.1
