genome,locus_tag,start,end,strand,type,gene_names
NC_000913.3,b0001,190,255,+,CDS,thrL;ECK0001;NP_414542.1
NC_000913.3,b0002,337,2799,+,CDS,thrA;ECK0002;Hs;thrA1;thrA2;thrD;NP_414543.1
NC_000913.3,b0003,2801,3733,+,CDS,thrB;ECK0003;NP_414544.1
NC_000913.3,b0004,3734,5020,+,CDS,thrC;ECK0004;NP_414545.1
NC_000913.3,b0005,5234,5530,+,CDS,yaaX;ECK0005;NP_414546.1
NC_000913.3,b0006,5683,6459,-,CDS,yaaA;ECK0006;NP_414547.1
NC_000913.3,b0007,6529,7959,-,CDS,yaaJ;ECK0007;NP_414548.1
NC_000913.3,b0008,8238,9191,+,CDS,talB;ECK0008;yaaK;NP_414549.1
NC_000913.3,b0009,9306,9893,+,CDS,mog;bisD;chlG;ECK0009;mogA;yaaG;NP_414550.1
NC_000913.3,b0010,9928,10494,-,CDS,satP;ECK0010;yaaH;NP_414551.1
NC_000913.3,b0011,10643,11356,-,CDS,yaaW;ECK0011;NP_414552.1
NC_000913.3,b0012,10830,11315,+,CDS,mbiA;ECK0012;htgA;htpY;YP_009518733.1
NC_000913.3,b0013,11382,11786,-,CDS,yaaI;ECK0013;NP_414554.1
NC_000913.3,b0014,12163,14079,+,CDS,dnaK;ECK0014;groPAB;groPC;groPF;grpC;grpF;seg;NP_414555.1
NC_000913.3,b0015,14168,15298,+,CDS,dnaJ;ECK0015;groP;grpC;NP_414556.1
NC_000913.3,b0016,15445,16557,+,CDS,insL1;ECK0016;yi81-1;NP_414557.1
NC_000913.3,b0018,16751,16960,-,CDS,mokC;ECK0018;gefL;NP_414559.1
NC_000913.3,b4412,16751,16903,-,CDS,hokC;ECK0017;gef;YP_025292.1
NC_000913.3,b4413,16952,17010,+,ncRNA,sokC;ECK0019;sof
NC_000913.3,b0019,17489,18655,+,CDS,nhaA;ant;antA;ECK0020;NP_414560.1
NC_000913.3,b0020,18715,19620,+,CDS,nhaR;antO;ECK0021;yaaB;NP_414561.1
NC_000913.3,b0021,19811,20314,-,CDS,insB1;ECK0022;NP_414562.1
NC_000913.3,b0022,20233,20508,-,CDS,insA1;ECK0023;NP_414563.1
NC_000913.3,b0023,20815,21078,-,CDS,rpsT;ECK0024;sup(s20);supS;supS20;NP_414564.1
NC_000913.3,b0024,21181,21399,+,CDS,yaaY;ECK0025;NP_414565.1
NC_000913.3,b0025,21407,22348,+,CDS,ribF;ECK0026;yaaC;NP_414566.1
